"cover","Zone_LN","tsdClass","harvest","area_ha"
"R","G4","11-20","Récoltes récentes",1125
"R","G4","11-20","Autres perturbations",2425
"R","G4","21-40","Autres perturbations",6650
"R","G4","41-60","Autres perturbations",2550
"R","G4","61-80","Autres perturbations",350
"R","G4","81-100","Autres perturbations",175
"R","G4","101 et +","Autres perturbations",1425
"R","G5","11-20","Récoltes récentes",275
"R","G5","11-20","Autres perturbations",25
"R","G5","21-40","Autres perturbations",400
"R","G5","41-60","Autres perturbations",150
"R","G5","61-80","Autres perturbations",25
"R","G5","101 et +","Autres perturbations",50
"R","G7","0-10","Récoltes récentes",25
"R","G7","0-10","Autres perturbations",100
"R","G7","11-20","Récoltes récentes",1750
"R","G7","21-40","Autres perturbations",2125
"R","G7","41-60","Autres perturbations",50
"R","G7","61-80","Autres perturbations",75
"R","G7","101 et +","Autres perturbations",200
"R","G8","11-20","Récoltes récentes",50
"R","G8","21-40","Autres perturbations",250
"R","G8","41-60","Autres perturbations",25
"R","G8","61-80","Autres perturbations",50
"R","G8","81-100","Autres perturbations",50
"R","G8","101 et +","Autres perturbations",550
